confidence,gloss_overlap,corpus_id,corpus_page,corpus_headword,corpus_pos,corpus_gloss,creider_primary,creider_secondary,creider_gloss,creider_pos,creider_page,notes
HIGH,1.00,p161_kwesit_n,161,kwesit,noun,pipe (smoking),kwé:s-i,kwé:s-í:t,pipe,n,43,
HIGH,1.00,p267_siret_n,267,siret,noun,market,sí:r-o,sí:r-é:t,market,n,43,
HIGH,1.00,p271_sotet_n,271,sotet,noun,"gourd, calabash, ki-sub V",sot-o,sot-é:t,gourd,n,43,
HIGH,1.00,p261_serut_n,261,serut,noun,"nose, kondab ser(ut). kong'ik ab ser(ut)nostril, nostrils (hole(s) of nose)",ser-u,ser-ú:t,nose,n,43,
HIGH,1.00,p088_eut_n,88,eut,noun,hand,e:y-u,e-ú:t,hand,n,43,
HIGH,1.00,p116_kenyit_n,116,kenyit,noun,"1. year, kenyisiek mut five years",keny-i,keny-í:t,year,n,43,
HIGH,1.00,p197_moet_n,197,moet,noun,wound,mò:-o,mò:-é:t,wound,n,44,
HIGH,1.00,p223_ng'etet_n,223,ng'etet,noun,boy,nge:t-a,nge:t-é:t,boy,n,44,
HIGH,1.00,hollis_p168_lakwa_n,168,lakwa,noun,child,la:k-wa,la:k-wé:t,child,n,44,
HIGH,1.00,p171_lakwet_n,171,lakwet,noun,"1. child. lakwa. (S/he) is like a child, i.e. immature",la:k-wa,la:k-wé:t,child,n,44,
HIGH,1.00,p301_tulwet_n,301,tulwet,noun,"hill, mountain, tulwet ab kong'aek termite hill",tul-wa,tul-wé:t,"hill, mountain",n,44,
HIGH,1.00,p312_urwet_n,312,urwet,noun,shade. ko-us V. /ko-us/ 1. to blow (of wind),u:r-wa,u:r-wé:t,shade,n,44,
HIGH,1.00,hollis_p170_moso_n,170,moso,noun,baboon,mò:s-o,mò:s-é:t,baboon,n,44,
HIGH,1.00,p201_moset_n,201,moset,noun,"baboon, moset ab tulwob Kamasai the baboon of Mt",mò:s-o,mò:s-é:t,baboon,n,44,
HIGH,1.00,p251_rotwet_n,251,rotwet,noun,"knife, rotwet ab baniek meat knife, butcher's knife",rò:t-wa,rò:t-wé:t,knife,n,44,
HIGH,1.00,p282_tamnet_n,282,tamnet,noun,chin,tà:mn-a,tà:mn-é:t,chin,n,44,
HIGH,1.00,hollis_p172_long_n,172,long,noun,shield,ló:ng,lo:ng-ê:t,shield,n,44,alt primary: lo:ng-à
HIGH,1.00,p180_long'et_n,180,long'et,noun,shield,ló:ng,lo:ng-ê:t,shield,n,44,alt primary: lo:ng-à
HIGH,1.00,p283_taptet_n,283,taptet,noun,flower,ta:pt-ò,ta:pt-ê:t,flower,n,44,
HIGH,1.00,p086_emet_n,86,emet,noun,country. Kararan emoni. This land is beautiful. _kara:ran e:m-a:-ni/,è:m,é:m-ê:t,country,n,45,
HIGH,1.00,hollis_p172_kut_n,172,kut,noun,mouth,kù:t,kú:t-î:t,"mouth, language",n,45,
HIGH,1.00,p158_kutit_n,158,kutit,noun,1. mouth,kù:t,kú:t-î:t,"mouth, language",n,45,
HIGH,1.00,hollis_p167_kwang_n,167,kwang,noun,bow,kwà:ng,kwá:nk-ê:t,bow,n,45,
HIGH,1.00,p250_ropta_n,250,ropta,noun,rain,rò:p,ro:p-tà,rain,n,46,
HIGH,1.00,p283_tany_n,283,tany,noun,Many/ 1. cow (see teta),tàny,te:-tà,cow,n,47,
HIGH,1.00,p289_teta_n,289,teta,noun,1. cow. 2. placenta (human),tàny,te:-tà,cow,n,47,
HIGH,1.00,hollis_p174_ngetuny_n,174,ngetuny,noun,lion,ngétúny,ngétun-tà,lion,n,47,
HIGH,1.00,hollis_p174_kutung_n,174,kutung,noun,"elbow, knee",kú:tûng,kù:tun-tà,knee,n,47,
HIGH,1.00,hollis_p005_asis_-,5,asis,-,"noun. (God, the Sun)",ásí:s,ásí:s-tà,sun,n,47,
HIGH,1.00,hollis_p041_asis_n,41,asis,noun,"God, the Sun (supreme deity)",ásí:s,ásí:s-tà,sun,n,47,
HIGH,1.00,p032_asista_n,32,asista,noun,1. sun,ásí:s,ásí:s-tà,sun,n,47,
HIGH,1.00,hollis_p174_kong2_n,174,kong2,noun,eye. (homograph),kò:ng,kó:n-tâ,eye,n,47,
HIGH,1.00,p162_kwesta_n,162,kwesta,noun,"billy-goat, kwest ab Koptururion the Kopturuion's billy-goat",kwè,kwès-tà,billy-goat,n,47,
HIGH,1.00,hollis_p172_kat_n,172,kat,noun,neck,kà:t,ka:t-ít,neck,n,48,
HIGH,1.00,p111_katit_n,111,katit,noun,neck,kà:t,ka:t-ít,neck,n,48,
HIGH,1.00,hollis_p172_ngot_n,172,ngot,noun,spear,ngòt,ngot-ít,spear,n,48,
HIGH,1.00,p227_ng'otit_n,227,ng'otit,noun,spear,ngòt,ngot-ít,spear,n,48,
HIGH,1.00,hollis_p173_met_n,173,met,noun,head,mèt,mét-ít,head,n,48,
HIGH,1.00,p194_metit_n,194,metit,noun,"head, metit ab migisit the fi-ont ofthe train",mèt,mét-ít,head,n,48,
HIGH,1.00,p125_kiit_n,125,kiit,noun,thing. ki ni,kìy,kí-ít,thing,n,48,
HIGH,1.00,hollis_p169_kunyut_n,169,kunyut,noun,brain,kú:nyût,kù:nt-ít,brain,n,48,
HIGH,1.00,hollis_p169_ket_n,169,ket,noun,tree,kè:t,ké:t-ît,tree,n,48,
HIGH,1.00,p120_ketit_n,120,ketit,noun,"1. tree, ket ne o a large tree",kè:t,ké:t-ît,tree,n,48,
HIGH,1.00,p098_itit_n,98,itit,noun,ear. itit ab Jelagat,ì:t,í:t-ît,ear,n,48,
HIGH,1.00,p188_mat_n,188,mat,noun,1. fire,mà,mâ:t,fire,n,48,
HIGH,1.00,p102_ka_n,102,ka,noun,"(no pi., no sec.) [cf. kot house] home (one's - -)",kà,kâ:t,house,n,48,
HIGH,1.00,p275_suswek_n,275,suswek,noun,grass,su:s-wa,su:s-wé:k,grass,n,51,
HIGH,1.00,p154_kumik_n,154,kumik,noun,honey,kú:m-în,kù:m-í:k,honey,n,52,
HIGH,1.00,p221_ng'atatek_n,221,ng'atatek,noun,"dung, mud",ngatát,ngatat-ê:k,"mud, dung",n,52,
HIGH,1.00,p273_sumeek_n,273,sumeek,noun,"hair, sumeek ab konyek eyebrows",sú:mey,sú:mê-ê:k,hair,n,52,
HIGH,1.00,p209_musarek_n,209,musarek,noun,"porridge, gmel. kechul musarek to make porridge (kechul = to stir)",mú:sâr,mú:sár-ê:k,porridge,n,52,
HIGH,1.00,p031_anyiny_a,31,anyiny,adjective,"sweet, tasty, delicious",ányîny,,"sweet, tasty",adj,62,
HIGH,1.00,p150_korom_a,150,korom,adjective,fierce,kórô:m,,fierce,adj,62,
HIGH,1.00,p172_lalang'_a,172,lalang',adjective,"Malang, lalang(-e:n)/ 1. warm",lálâng,,warm,adj,62,
HIGH,1.00,p178_lo_a,178,lo,adjective,"far, distant, deep",lô:,,"far, deep",adj,62,
HIGH,1.00,p228_ng'utum_a,228,ng'utum,adjective,blunt,ngútû:m,,blunt,adj,62,
HIGH,1.00,p229_ng'wan_a,229,ng'wan,adjective,1 bitter,ngwâ:n,,bitter,adj,62,
HIGH,1.00,p233_nyalil_a,233,nyalil,adjective,"green, kigombet ne nyalil a green cup",nyálî:l,,green,adj,62,
HIGH,1.00,p241_OS_a,241,OS,adjective,old,ô:s,,old,adj,62,
HIGH,1.00,p293_tilil_a,293,tilil,adjective,1. clean. 2. guiltless,tílî:l,,clean,adj,62,
HIGH,1.00,p109_kararan_a,109,kararan,adjective,"beautiful, delightful, nice",kárâ:rán,,beautiful,adj,63,plural: kárâ:ran
HIGH,1.00,p125_kim_a,125,kim,adjective,1. strong,kí:m,,strong,adj,63,plural: kí:me:n
HIGH,1.00,p196_mining'_a,196,mining',adjective,small,míníng,,small,adj,64,plural: ménke:c
HIGH,1.00,p222_ng'ering_a,222,ng'ering,adjective,"few, not much, a smidgin (plural only)",ngéri:ng,,few,adj,64,
HIGH,1.00,p281_tala_a,281,tala,adjective,"gentle, tranquil, mellow",tálá,,gentle,adj,64,plural: táláe:n
HIGH,1.00,p316_ya_a,316,ya,adjective,1. bad,yâ,,bad,adj,64,plural: yáac
HIGH,1.00,hollis_p183_aeng_num,183,aeng,numeral,two. (alt oieng),áê:ng,,two,num,64,
HIGH,1.00,p270_somok_num,270,somok,numeral,"/somok/ three, somsom",sómok,,three,num,64,
HIGH,1.00,p031_ang'wan_num,31,ang'wan,numeral,four,ángwân,,four,num,64,
HIGH,1.00,p210_mut_num,210,mut,numeral,"five, siling' mut five shillings",mû:t,,five,num,64,
HIGH,1.00,hollis_p183_tisap_num,183,tisap,numeral,seven,tísap,,seven,num,64,
HIGH,1.00,p268_sisit_num,268,sisit,numeral,eight,sisí:t,,eight,num,64,
HIGH,1.00,hollis_p183_sokol_num,183,sokol,numeral,nine,sókô:l,,nine,num,64,
HIGH,1.00,p282_taman_num,282,taman,numeral,ten. tamang'ewet,táman,,ten,num,64,
HIGH,1.00,hollis_p183_tiptem_num,183,tiptem,numeral,twenty,típtém,,twenty,num,65,
HIGH,1.00,p271_sosom_num,271,sosom,numeral,thirty,sosóm,,thirty,num,65,
HIGH,1.00,p032_artam_num,32,artam,numeral,forty,ártám,,forty,num,65,
HIGH,1.00,p149_konom_num,149,konom,numeral,fifty,konóm,,fifty,num,65,
HIGH,1.00,p241_orit_n,241,orit,noun,inside,órî:t,,inside,adv,67,
HIGH,1.00,p197_mising'_adv,197,mising',adverb,"very much, a lot",mi:síng,,very,adv,67,
HIGH,1.00,p031_anyun_adv,31,anyun,adverb,then; indeed,ányun,,indeed,adv,67,
HIGH,1.00,p29_ke_am_v,29,ke-am,verb,to eat,ke:-ám,,to eat (it),v,92,
HIGH,1.00,p173_ke_le_v,173,ke-le,verb,to say,ke:-le,,to say,v,129,
HIGH,1.00,p96_inye_n,96,inye,noun,"you (sg.), thou, thee",ínyê:,íny e:,you (2sg),pron,57,
HIGH,1.00,p96_inye_n,96,inye,noun,"you (sg.), thou, thee",ínyê:,íny e:,you (2sg),pron,57,
HIGH,1.00,p93_ine_n,93,ine,noun,"she, he, it",ínê:,íne:,"he, she, it (3sg)",pron,57,
HIGH,1.00,p93_ine_n,93,ine,noun,"she, he, it",ínê:,íne:,"he, she, it (3sg)",pron,57,
HIGH,1.00,hollis_p184_okwek_pron,184,okwek,pronoun,you (pl.),ókwê:k,ókwe:k,you (2pl),pron,57,
HIGH,1.00,hollis_p184_okwek_pron,184,okwek,pronoun,you (pl.),ókwê:k,ókwe:k,you (2pl),pron,57,
HIGH,0.50,p289_teret_n,289,teret,noun,ter-e:t _a:p inkw-e:k/ teret ab kimoi cooking pot (for cooking kimiet),ter-e,ter-é:t,earthen pot,n,43,
HIGH,0.50,hollis_p172_or_n,172,or,noun,"path, clan",ò:r,ó:r-ê:t,"road, clan",n,44,alt primary: ó:r-â
HIGH,0.50,p241_oret_n,241,oret,noun,"1. road, path",ò:r,ó:r-ê:t,"road, clan",n,44,alt primary: ó:r-â
HIGH,0.50,hollis_p176_kipsikisin_n,176,kipsikisin,noun,Lumbwa person,kipsiki:s-í:n,kipsiki:s-i:n-tèt,Kipsigis person,n,45,
HIGH,0.50,p209_mursik_n,209,mursik,noun,milk thickened in specially prepared gourd,murs-i,murs-í:k,clabbered milk,n,51,
LOW,0.00,p195_milet_n,195,milet,noun,ka:-tu:yye: sumpaen yu pa:r-ey _ak _mil-e:t/ ke-mimi v,míl-a,míl-é:t,"burden, load",n,43,
LOW,0.00,hollis_p173_siro_n,173,siro,noun,"band, stripe",sí:r-o,sí:r-é:t,market,n,43,
LOW,0.00,p236_ke_nyit_v,236,ke-nyit,verb,"to annoy, infuriate",keny-i,keny-í:t,year,n,43,
LOW,0.00,p212_moet_n,212,moet,noun,"1. stomach, belly. O moet",mò:-o,mò:-é:t,wound,n,44,
LOW,0.00,hollis_p172_kat_n,172,kat,noun,neck,ká:t,ka:t-ê:t,arrow,n,44,alt primary: ka:t-à
LOW,0.00,p111_katet_n,111,katet,noun,1. thorn,ká:t,ka:t-ê:t,arrow,n,44,alt primary: ka:t-à
LOW,0.00,hollis_p172_em_n,172,em,noun,earth,è:m,é:m-ê:t,country,n,45,
LOW,0.00,p172_lal_v,172,lal,verb,to cough,là:l,lá:l-ê:t,bag,n,45,
LOW,0.00,p172_lalet_n,172,lalet,noun,"horn, lalet ab mwaita hom of oil",là:l,lá:l-ê:t,bag,n,45,
LOW,0.00,hollis_p174_kong_n,174,kong,noun,hole,kò:ng,kó:n-tâ,eye,n,47,
LOW,0.00,p113_kel_n,113,kel,noun,"1. bottom, ket kel bottom of the tree",kè:l,ké:l-tâ,"foot, leg",n,47,
LOW,0.00,p225_ng'ok_a,225,ng'ok,adjective,selfish,ngò:k,ngò:k-tà,dog,n,47,
LOW,0.00,p226_ng'ot_v,226,ng'ot,verb,to put too much in,ngòt,ngot-ít,spear,n,48,
LOW,0.00,p230_ng'ot_vven,230,ng'ot,verb,to outwit,ngòt,ngot-ít,spear,n,48,
LOW,0.00,hollis_p172_kat_n,172,kat,noun,neck,kà,kâ:t,house,n,48,
LOW,0.00,p302_tung'wek_n,302,tung'wek,noun,"head cold, spittle, tung'wek. I have a cold (a cold is eating me)",túng-wa,túng-wé:k,colds,n,51,
LOW,0.00,hollis_p177_musar_n,177,musar,noun,gruel,mú:sâr,mú:sár-ê:k,porridge,n,52,
LOW,0.00,p182_lo_num,182,lo,numeral,"/la/ six. lo, tisab. (It's) not six, (it's) seven",lô:,,"far, deep",adj,62,
LOW,0.00,p233_nyalil_v,233,nyalil,verb,"to mistreat, torment",nyálî:l,,green,adj,62,
LOW,0.00,p210_mut_v,210,mut,verb,to cut in two with one blow; hit hard with a heavy cane. 2. to poison,mû:t,,five,num,64,
LOW,0.00,p210_mut_v,210,mut,verb,to rumble,mû:t,,five,num,64,
LOW,0.00,p176_let_v,176,let,verb,"[cf ke-la to braid] to spin (hair, thread), braid by spinning",lèt,,behind,adv,67,
LOW,0.00,p237_ke_nyor_vven,237,ke-nyor,verb,to fmd,ke:-nyo:r,,to find,v,86,
LOW,0.00,p267_ke_sir_vven,267,ke-sir,verb,to have a rash,ke:-si:r,,"to pass, exceed",v,150,
LOW,0.00,p267_ke_sir_vrefl,267,ke-sir,verb,not to agree with one another about,ke:-si:r,,"to pass, exceed",v,150,
LOW,0.00,p180_ke_lu_v,180,ke-lu,verb,"to drink (milk only, cf ke-e)",ke:-lú:,,to shine,v,17,
LOW,0.00,hollis_p184_ane_pron,184,ane,pronoun,"I, me",ánê:,áne:,"I, me (1sg)",pron,57,
LOW,0.00,hollis_p184_ane_pron,184,ane,pronoun,"I, me",ánê:,áne:,"I, me (1sg)",pron,57,
LOW,0.00,hollis_p184_inye_pron,184,inye,pronoun,"thou, thee",ínyê:,íny e:,you (2sg),pron,57,
LOW,0.00,hollis_p184_inye_pron,184,inye,pronoun,"thou, thee",ínyê:,íny e:,you (2sg),pron,57,
LOW,0.00,p027__ak_af,27,-ak,affix,one,àk,,and; with,conj,70,
LOW,0.00,p087_eng'_p,87,eng',particle,in. eng orit in the inside,é:ng,,"in, with, by",prep,69,